#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1560000083919158459,0.0131137377449,0.0112627775541,-1.75042805495e-05,0.331383675337,-9.70191478729,0.93811750412
1560000083923074484,0.0156403258443,0.0104815177619,-0.0019663973276,0.270489573479,-9.66160869598,0.979058980942
1560000083926990747,0.0156403258443,0.0116697844242,-0.00350816268474,0.270329713821,-9.65162658691,0.978993058205
1560000083930907726,0.015212264034,0.0122268470004,-0.00176283356268,0.330398321152,-9.7410364151,1.03805923462
1560000083934823990,0.0124821828234,0.0122268470004,-0.00317564818222,0.348793774843,-9.77993202209,1.16745972633
1560000083938741207,0.0110570501248,0.0133194651743,-0.0046007808586,0.365444093943,-9.65951538086,1.24596595764
1560000083942657232,0.0121496682987,0.0122268470004,-0.000232284143241,0.286620914936,-9.65976715088,1.20787358284
1560000083946574450,0.0130174303194,0.0131044142181,-1.75042805495e-05,0.183912307024,-9.48965549469,1.24884724617
1560000083950491667,0.010286521269,0.0174628347158,-0.00176283356268,0.203125402331,-9.50915431976,1.30834114552
1560000083954407692,0.00755668773769,0.0163605120436,-0.000660511451082,0.200861275196,-9.46841621399,1.40775537491
1560000083958324909,0.0030808691009,0.0143143290617,-1.75042805495e-05,0.302760154009,-9.62822151184,1.40658700466
1560000083962241173,0.000350657362746,0.0170445407482,-1.75042805495e-05,0.261771142483,-9.44931316376,1.30661118031
1560000083966158152,-6.76363852108e-05,0.0174628347158,-1.75042805495e-05,0.182612508535,-9.4890089035,1.32858943939
1560000083970074415,-0.00317048014715,0.0174628347158,-0.00156892620679,0.160495877266,-9.38884544373,1.36824584007
1560000083973990440,-0.00609461381238,0.0174628347158,-0.00176283356268,0.239633470774,-9.42836093903,1.42653751373
1560000083977906704,-0.00882485863531,0.0174934108044,-0.00176283356268,0.342821657658,-9.62841892242,1.38576185703
1560000083981823921,-0.00952363692874,0.0192081648856,-0.00176283356268,0.32523855567,-9.58992671967,1.20652246475
1560000083985739946,-0.00930463140017,0.0192081648856,-0.00176283356268,0.188416898251,-9.66024398804,1.14032268524
1560000083989656210,-0.0147649261587,0.0192081648856,-0.000522840641473,0.148033097386,-9.64998435974,1.17104959488
1560000083993572235,-0.0192662589252,0.0179423684397,-0.00128330008267,0.209244251251,-9.72015666962,1.14027380943
1560000083997487545,-0.0207292572335,0.0192081648856,-1.75042805495e-05,0.289707928896,-9.66130256653,1.0184854269
1560000084001404762,-0.0227569155395,0.0209534931928,-1.75042805495e-05,0.273712813854,-9.76223945618,0.880040645599
1560000084005320787,-0.0210694161175,0.0209534931928,-1.75042805495e-05,0.195214554667,-9.76265335083,0.822012901306
1560000084009235144,-0.0192662589252,0.0209534931928,-1.75042805495e-05,0.0968585684896,-9.72344398499,0.72429472208
1560000084013153076,-0.0192662589252,0.0192081648856,-1.75042805495e-05,0.138680994511,-9.82354450226,0.6941614151
1560000084017070293,-0.0181143979228,0.0180563038832,-0.00116936469711,0.218830272555,-9.7249250412,0.552173733711
1560000084020986557,-0.0167385395941,0.0174628347158,-0.00311696813016,0.380339235067,-9.86498165131,0.529603719711
1560000084024903536,-0.012653681954,0.0174628347158,-0.000386245203791,0.499548882246,-9.86508846283,0.526935338974
1560000084028819799,-0.01228494104,0.0174628347158,-1.75042805495e-05,0.44187271595,-9.94521713257,0.488925993443
1560000084032736063,-0.0106839059046,0.0190638707056,-1.75042805495e-05,0.263068795204,-9.90545082092,0.452793627977
1560000084036651134,-0.00620977329956,0.0235380019727,-1.75042805495e-05,0.135848432779,-10.0053195953,0.43640846014
1560000084040569305,-0.00355829484761,0.0242839606237,-1.75042805495e-05,0.14322501421,-9.84561061859,0.435130685568
1560000084044486523,-0.00249277583755,0.0188224551727,-1.75042805495e-05,0.222692847252,-9.86548614502,0.453419268131
1560000084048403502,-6.76363852108e-05,0.0136667975197,-1.75042805495e-05,0.359176397324,-9.84451389313,0.589723348618
1560000084052319765,-6.76363852108e-05,0.0122268470004,-1.75042805495e-05,0.438974440098,-9.84474658966,0.568008780479
1560000084056235790,0.00167769286782,0.0150316023468,-1.75042805495e-05,0.358212083578,-9.80442142487,0.609395027161
